کد استان - کد دستگاه اجرایی,استان - کد دستگاه اجرایی,جمع کل - ,استانداری - 105000,اداره کل زندان‌ها و اقدامات تامینی و تربیتی - 108200,اداره کل بازرسی - 108300,مرکز پزشکی قانونی - 108400,اداره کل اوقاف و امور خیریه - 109500,اداره کل امور اقتصادی و دارایی - 110000,اداره کل هواشناسی - 113000,اداره کل میراث فرهنگی، صنایع دستی و گردشگری - 113700,اداره کل فرهنگ و ارشاد اسلامی - 114000,اداره کل تبلیغات اسلامی - 114300,حوزه هنری سازمان تبلیغات اسلامی - 115600,اداره کل نوسازی، توسعه و تجهیز مدارس - 127600,اداره کل ورزش و جوانان - 128500,پایگاه انتقال خون - 129500,اداره کل بهزیستی - 131500,شبکه دامپزشکی - 135500,اداره کل منابع طبیعی - 139000,اداره کل استاندارد و تحقیقات صنعتی - 146000,اداره کل امور عشایر - 149600,اداره کل جهاد کشاورزی - 151000,شیلات - 151200,اداره کل راه و شهرسازی - 153000,اداره کل تعاون، کار و رفاه اجتماعی - 154000,اداره کل صنعت، معدن و تجارت - 155000
,کل کشور,"22,000.0","3,223.2","2,324.3",253.0,383.2,261.1,513.9,331.1,634.5,582.2,318.7,71.8,277.4,658.3,585.9,"2,127.1",831.4,"1,209.2",259.9,175.8,"3,916.5",295.8,956.2,833.3,976.1
51,مرکزی,466.1,77.3,48.1,7.5,10.0,6.2,12.3,7.0,14.0,10.3,9.0,1.5,6.9,14.3,11.7,39.9,19.1,20.9,4.5,0.8,78.4,0.0,21.5,20.3,24.5
52,گیلان,853.6,99.0,94.0,9.4,18.2,12.3,19.9,10.9,24.8,29.4,10.2,3.5,10.0,31.0,27.5,77.5,25.4,49.8,11.6,0.9,130.1,53.8,32.5,31.7,40.3
53,مازندران,"1,169.0",131.5,79.0,8.2,15.2,15.7,18.6,16.0,37.9,28.3,19.1,2.9,14.2,37.0,31.4,108.2,44.7,146.3,9.6,1.1,227.3,48.1,37.4,41.5,49.9
54,آذربایجان شرقی,922.5,133.2,84.8,7.7,18.7,12.9,19.0,14.6,25.9,24.5,8.8,1.7,10.7,28.1,23.2,93.8,39.5,44.1,14.2,6.9,184.2,0.0,35.3,40.9,49.8
55,آذربایجان غربی,850.9,134.8,93.1,6.7,13.2,12.2,19.7,14.2,21.7,19.1,10.1,1.9,8.3,28.9,21.9,62.2,34.7,45.9,10.6,10.2,184.9,0.0,25.5,30.7,40.4
56,کرمانشاه,753.6,107.9,64.7,7.4,9.7,6.5,16.4,11.2,16.8,22.3,9.1,1.9,9.2,19.7,15.2,57.4,21.2,36.2,7.3,8.5,207.4,7.9,28.5,26.7,34.5
57,خوزستان,"1,184.8",154.3,126.0,10.6,14.7,11.0,19.1,16.9,33.2,29.6,16.3,3.3,18.9,34.6,39.4,115.5,39.7,50.5,17.2,16.2,217.0,40.5,39.1,65.5,55.8
58,فارس,"1,280.1",188.7,119.2,11.7,19.9,15.9,20.0,17.5,45.5,24.0,14.3,1.8,12.2,37.0,35.4,116.4,43.6,79.7,10.4,18.9,299.6,0.0,64.1,36.7,47.7
59,کرمان,976.5,146.3,118.0,9.5,13.7,11.3,19.7,10.9,30.8,28.0,10.1,1.6,9.6,19.4,20.4,81.9,41.4,58.7,7.3,12.3,216.2,0.0,47.8,27.7,33.9
60,خراسان رضوی,"1,263.8",182.6,207.7,17.0,25.5,13.2,26.5,16.0,24.4,34.0,19.8,3.0,10.9,30.3,37.5,149.6,60.9,58.1,9.9,5.6,199.2,0.0,50.9,34.9,46.2
61,اصفهان,"1,095.6",148.3,127.1,13.2,23.8,17.6,20.4,17.8,42.3,37.2,19.1,6.0,10.8,37.3,31.5,137.1,37.3,41.4,14.6,6.1,160.8,0.0,44.0,56.5,45.4
62,هرمزگان,618.7,111.6,61.8,8.1,6.4,7.2,15.9,13.9,13.9,14.5,8.9,1.9,10.1,17.4,16.8,57.1,20.4,34.3,15.3,2.6,73.2,33.6,29.3,19.9,24.6
63,سیستان و بلوچستان,739.1,115.0,74.9,8.0,8.1,3.2,14.7,12.6,23.9,17.1,8.3,1.2,10.2,16.3,15.7,52.5,30.3,38.8,8.1,11.2,128.6,38.1,54.9,20.8,26.6
64,کردستان,616.7,98.5,50.6,6.2,9.2,8.6,15.5,10.8,16.6,15.9,7.1,3.8,8.3,16.8,10.7,59.5,21.5,37.3,8.6,0.0,127.6,0.0,35.0,24.2,24.3
65,همدان,547.2,96.3,65.2,7.6,9.1,9.1,16.1,7.6,18.0,17.6,9.6,1.5,9.9,16.1,9.3,45.1,20.7,22.9,6.7,2.5,87.0,0.0,23.4,21.6,24.2
66,لرستان,664.2,88.3,63.4,6.7,7.2,2.9,11.0,11.3,16.7,15.4,9.4,2.5,10.2,18.8,11.4,64.6,23.6,34.0,4.4,10.6,170.4,7.1,24.5,23.3,26.4
67,ایلام,506.1,81.9,34.9,6.7,6.1,3.5,14.1,8.0,16.8,9.7,8.7,1.8,6.6,17.5,5.8,57.3,20.3,32.8,5.1,8.1,97.1,0.0,23.0,20.0,20.4
68,زنجان,439.6,62.2,26.8,5.0,7.4,7.0,14.1,7.6,17.9,10.6,6.7,1.6,7.4,17.0,10.8,43.8,15.1,24.7,7.6,0.9,82.6,0.0,21.9,19.0,21.8
69,چهارمحال و بختیاری,427.4,76.0,31.3,7.9,7.8,4.0,13.2,8.4,9.6,10.1,7.7,2.0,7.2,16.3,10.8,39.4,18.8,21.0,4.4,7.1,73.2,0.0,20.9,13.5,16.8
70,کهگیلویه و بویراحمد,451.9,65.2,33.9,5.1,6.3,4.6,15.1,7.1,14.5,11.9,8.6,2.1,7.8,10.4,8.7,30.4,16.5,34.0,4.2,6.1,91.4,0.0,36.4,13.2,18.6
71,سمنان,422.5,69.5,29.4,5.3,5.9,5.0,13.1,7.2,12.0,11.4,8.5,2.9,5.2,13.4,11.9,31.5,16.3,29.2,5.8,4.4,75.4,0.0,24.4,15.6,19.6
72,یزد,497.3,88.5,40.1,5.3,8.5,7.2,16.7,9.8,17.8,18.2,9.5,1.9,6.3,16.6,14.9,45.5,14.7,27.5,6.7,0.8,79.4,0.0,23.3,19.0,19.2
73,بوشهر,509.8,79.1,40.8,5.9,6.7,4.4,14.6,8.5,14.8,13.2,8.4,1.2,7.7,13.6,13.5,47.0,24.8,22.5,9.9,4.1,72.8,27.1,23.2,21.5,24.6
74,تهران,"1,432.0",191.0,292.0,20.0,59.6,19.7,22.7,10.5,27.3,44.4,14.2,2.4,17.3,33.3,64.4,240.1,44.0,35.0,17.1,2.8,89.3,0.0,28.5,69.1,87.3
75,اردبیل,543.6,84.7,35.7,8.4,8.2,4.7,13.8,11.7,17.1,12.7,7.8,2.1,7.0,21.4,15.5,38.8,23.5,33.6,5.6,8.8,110.1,4.1,24.1,21.8,22.6
76,قم,319.8,42.4,40.9,5.2,6.8,6.1,14.1,6.1,8.0,9.3,6.7,2.4,4.9,9.8,10.5,23.4,13.6,14.1,5.4,0.7,39.2,0.0,18.9,11.3,20.0
77,قزوین,418.8,66.5,32.4,6.0,7.3,4.8,16.9,6.7,12.8,9.7,6.5,3.0,5.8,12.9,12.1,35.7,17.7,17.7,5.6,0.5,77.7,0.0,24.3,15.3,20.9
78,گلستان,678.0,88.2,51.1,6.6,10.1,5.0,16.4,11.4,18.7,17.5,11.5,2.3,8.0,24.7,15.9,47.2,25.7,54.8,6.2,2.9,142.8,35.7,25.5,21.2,28.7
79,خراسان شمالی,416.9,66.4,36.3,4.7,5.8,5.0,16.0,7.3,15.2,7.8,8.1,2.0,5.4,14.9,8.1,37.3,19.7,21.8,5.0,5.8,68.0,0.0,20.4,15.6,20.3
80,خراسان جنوبی,486.2,77.8,55.1,6.2,5.6,7.9,13.4,6.5,15.3,11.5,11.2,1.9,5.0,18.7,10.8,43.1,20.3,23.8,4.2,7.3,78.0,0.0,28.9,14.5,19.4
81,البرز,447.6,70.6,66.1,9.2,8.6,6.1,14.7,5.4,10.4,17.2,5.2,2.0,5.3,15.0,13.1,48.3,16.5,17.9,6.7,1.3,47.4,0.0,19.1,19.8,21.5